ProximityToWaterBody,Elevation,Rainfall,Vegetation,Urbanization,Soil,Drainage,Slope,StormFrequency,Wetlands,Deforestation,Season,Infrastructure,Encroachment,FloodRisk
Close to Stream,175,624,Dense,Medium,Loamy,Moderate,Flat,Frequent,Present,Severe,Dry,Strong,None,Medium
Close to Dam,1,375,Moderate,Low,Loamy,Moderate,Moderate,Frequent,Present,None,Rainy,Strong,Severe,Low
Very Far from Lagoon,62,941,Dense,High,Rocky,Good,Flat,Frequent,Present,Moderate,Rainy,Weak,Severe,Medium
Close to Lake,142,858,Sparse,Medium,Rocky,Moderate,Moderate,Frequent,Absent,Severe,Dry,Strong,Severe,High
Very Close to Lagoon,94,706,None,Low,Loamy,Good,Steep,Frequent,Present,None,Rainy,Strong,None,Low
Very Far from Lake,141,646,Moderate,Low,Loamy,Good,Flat,Frequent,Absent,None,Dry,Strong,Moderate,Low
Very Far from Lagoon,169,181,Moderate,Medium,Rocky,Moderate,Flat,Frequent,Absent,Moderate,Rainy,Weak,Severe,Medium
Close to Dam,169,588,None,Medium,Rocky,Moderate,Moderate,Rare,Absent,Severe,Dry,Strong,Moderate,Medium
Very Close to Lake,136,142,Dense,Medium,Rocky,Moderate,Moderate,Rare,Present,Moderate,Rainy,Moderate,Severe,Medium
Very Close to Dam,206,279,Moderate,Medium,Clay,Poor,Flat,Occasional,Absent,None,Transition,Weak,None,Low
Close to Dam,173,384,None,Medium,Rocky,Moderate,Steep,Rare,Absent,None,Dry,Weak,Severe,Low
Moderately Close to Lake,278,110,None,Low,Rocky,Good,Flat,Occasional,Absent,Severe,Transition,Strong,Severe,Low
Close to Dam,185,54,Sparse,Low,Rocky,Good,Moderate,Frequent,Absent,Moderate,Dry,Weak,Severe,Low
Moderately Close to Lake,49,416,Dense,Medium,Sandy,Moderate,Moderate,Rare,Present,Severe,Transition,Weak,Severe,Medium
Moderately Close to River,229,488,Moderate,Medium,Loamy,Moderate,Steep,Rare,Present,Moderate,Dry,Strong,None,Low
Very Far from Lagoon,101,320,Dense,Medium,Loamy,Good,Moderate,Rare,Present,None,Dry,Strong,Severe,Low
Far from Lagoon,157,684,Moderate,Low,Clay,Poor,Steep,Frequent,Absent,Moderate,Transition,Strong,None,Low
Close to Lake,91,768,Dense,Medium,Loamy,Good,Moderate,Occasional,Absent,Severe,Rainy,Weak,None,Medium
Far from Lagoon,200,582,Sparse,Medium,Clay,Good,Flat,Occasional,Absent,None,Dry,Weak,None,Low
Moderately Close to Dam,17,125,Dense,Low,Rocky,Moderate,Moderate,Rare,Present,Moderate,Dry,Weak,None,Low
Moderately Close to Stream,135,71,None,High,Rocky,Moderate,Flat,Rare,Present,Severe,Transition,Moderate,None,Medium
Far from Stream,109,838,Dense,Medium,Sandy,Moderate,Flat,Frequent,Absent,Severe,Dry,Moderate,None,Medium
Moderately Close to Stream,218,9,Dense,Low,Rocky,Moderate,Flat,Occasional,Absent,Severe,Rainy,Strong,Moderate,Low
Very Close to Lake,189,734,Sparse,Low,Loamy,Good,Flat,Frequent,Present,None,Rainy,Weak,Moderate,Medium
Far from Lagoon,261,462,Dense,High,Sandy,Good,Steep,Frequent,Present,Severe,Dry,Moderate,Severe,Low
Far from Stream,269,319,Sparse,High,Rocky,Good,Steep,Frequent,Absent,Severe,Dry,Moderate,None,Low
Very Close to Lake,133,945,Dense,Low,Rocky,Moderate,Moderate,Rare,Present,Moderate,Transition,Strong,Moderate,Low
Very Far from River,279,931,Sparse,High,Sandy,Poor,Moderate,Occasional,Present,None,Transition,Moderate,Severe,Low
Close to Lake,156,468,None,High,Clay,Poor,Moderate,Rare,Absent,None,Rainy,Weak,Moderate,Medium
Very Close to Lagoon,236,232,Sparse,High,Clay,Good,Moderate,Occasional,Present,Moderate,Transition,Moderate,None,Low
Close to Lake,277,640,Sparse,Medium,Sandy,Good,Flat,Rare,Present,Moderate,Rainy,Weak,Moderate,Medium
Close to River,81,651,Moderate,Medium,Rocky,Good,Flat,Frequent,Present,None,Rainy,Moderate,Severe,Medium
Moderately Close to Dam,263,506,None,Medium,Rocky,Poor,Steep,Occasional,Present,Moderate,Dry,Moderate,Severe,Medium
Moderately Close to Lake,231,236,Dense,Low,Sandy,Moderate,Flat,Occasional,Absent,Severe,Transition,Strong,Moderate,Low
Very Close to Stream,164,310,Dense,Low,Sandy,Moderate,Moderate,Frequent,Present,Moderate,Rainy,Strong,None,Low
Very Far from Lagoon,220,204,Dense,High,Sandy,Poor,Steep,Frequent,Present,None,Dry,Moderate,None,Low
Very Far from Stream,104,943,Dense,Low,Loamy,Moderate,Moderate,Frequent,Absent,None,Transition,Strong,Severe,Low
Far from Lake,155,851,None,Low,Sandy,Poor,Flat,Rare,Present,Severe,Transition,Strong,Moderate,Medium
Very Far from Lake,214,369,None,Low,Loamy,Poor,Moderate,Rare,Absent,Severe,Rainy,Weak,Moderate,Medium
Very Close to Lagoon,298,759,Moderate,Low,Sandy,Poor,Steep,Frequent,Present,Severe,Transition,Moderate,None,Low
Close to Dam,89,977,Moderate,Low,Clay,Good,Moderate,Rare,Present,Severe,Dry,Moderate,Severe,Low
Moderately Close to Lake,108,589,Dense,High,Sandy,Poor,Steep,Frequent,Absent,Severe,Transition,Strong,Severe,Medium
Moderately Close to Dam,22,263,None,High,Clay,Good,Moderate,Frequent,Present,None,Rainy,Strong,Severe,Medium
Moderately Close to River,255,674,Dense,Low,Rocky,Moderate,Moderate,Frequent,Absent,Moderate,Dry,Weak,Moderate,Medium
Very Close to Lake,46,61,None,Low,Rocky,Moderate,Flat,Frequent,Absent,None,Dry,Weak,None,Medium
Moderately Close to Lagoon,279,652,Sparse,Medium,Sandy,Good,Moderate,Frequent,Present,Severe,Dry,Weak,Moderate,Medium
Moderately Close to Dam,14,687,None,High,Rocky,Good,Steep,Occasional,Absent,None,Dry,Moderate,Severe,Medium
Far from Lagoon,154,752,None,Medium,Loamy,Moderate,Moderate,Frequent,Absent,Severe,Transition,Moderate,None,Medium
Close to Lagoon,125,375,Moderate,Medium,Loamy,Moderate,Flat,Occasional,Absent,Moderate,Transition,Strong,Moderate,Low
Moderately Close to Dam,52,809,None,High,Sandy,Good,Steep,Frequent,Absent,None,Transition,Weak,Moderate,Medium
Close to Stream,258,566,Sparse,Medium,Clay,Poor,Moderate,Frequent,Absent,Severe,Dry,Weak,Moderate,Medium
Far from Lake,178,753,None,Medium,Sandy,Good,Steep,Occasional,Present,Severe,Dry,Weak,Moderate,Low
Far from Lagoon,268,859,Moderate,Low,Loamy,Good,Moderate,Rare,Present,Moderate,Transition,Strong,Moderate,Low
Close to Stream,126,710,None,High,Rocky,Poor,Flat,Rare,Absent,Moderate,Transition,Strong,Moderate,High
Very Close to Lagoon,115,736,Sparse,Low,Loamy,Moderate,Moderate,Frequent,Present,Moderate,Dry,Strong,Moderate,Medium
Moderately Close to Lagoon,11,918,None,High,Sandy,Good,Moderate,Frequent,Present,None,Dry,Weak,Moderate,Medium
Close to Dam,174,247,Sparse,Medium,Loamy,Good,Flat,Occasional,Present,Severe,Dry,Strong,Severe,Low
Very Far from Lake,43,838,Sparse,Low,Rocky,Moderate,Flat,Rare,Absent,None,Transition,Moderate,None,Low
Very Close to Lake,202,940,Dense,Low,Rocky,Good,Flat,Frequent,Present,Severe,Transition,Weak,Severe,Medium
Moderately Close to River,109,545,Sparse,Medium,Clay,Poor,Steep,Frequent,Absent,Severe,Dry,Weak,Moderate,Medium
Very Close to River,187,55,Dense,Low,Clay,Good,Moderate,Rare,Present,Severe,Rainy,Weak,None,Low
Close to Stream,50,755,None,Low,Sandy,Good,Moderate,Rare,Absent,None,Dry,Weak,Moderate,Medium
Moderately Close to Lagoon,285,916,Sparse,High,Sandy,Good,Flat,Occasional,Absent,None,Dry,Weak,Severe,Medium
Close to Lagoon,129,990,Dense,Medium,Sandy,Moderate,Steep,Rare,Absent,None,Transition,Weak,Severe,Medium
Very Far from Lake,171,229,Moderate,Low,Sandy,Moderate,Steep,Rare,Present,Moderate,Rainy,Moderate,None,None
Very Close to Stream,46,393,Sparse,High,Sandy,Moderate,Flat,Rare,Absent,Severe,Rainy,Moderate,Moderate,High
Moderately Close to River,216,524,Moderate,Low,Rocky,Poor,Steep,Frequent,Present,Severe,Rainy,Weak,None,Medium
Far from Dam,123,812,None,Low,Loamy,Good,Flat,Frequent,Absent,Severe,Dry,Weak,Moderate,Medium
Very Close to Dam,3,942,Sparse,Medium,Rocky,Poor,Flat,Occasional,Present,Severe,Rainy,Weak,Severe,High
Far from Stream,191,118,Sparse,High,Sandy,Poor,Moderate,Occasional,Absent,None,Rainy,Weak,Severe,Medium
Moderately Close to Lake,206,507,None,Low,Loamy,Good,Flat,Occasional,Absent,Severe,Rainy,Weak,None,Medium
Moderately Close to Dam,69,615,Dense,Low,Loamy,Good,Steep,Frequent,Absent,Moderate,Rainy,Strong,Severe,Low
Very Far from River,59,253,Sparse,Medium,Sandy,Good,Flat,Rare,Absent,None,Transition,Strong,Moderate,Low
Close to Dam,47,138,Sparse,High,Sandy,Good,Moderate,Frequent,Present,None,Transition,Moderate,Moderate,Low
Moderately Close to River,68,67,Moderate,High,Clay,Good,Steep,Occasional,Absent,None,Rainy,Moderate,Moderate,Low
Very Close to Stream,128,855,Moderate,High,Clay,Good,Flat,Rare,Present,Severe,Dry,Strong,Moderate,Medium
Very Close to River,123,217,Dense,Medium,Sandy,Good,Flat,Frequent,Present,None,Dry,Weak,None,Low
Moderately Close to Lagoon,216,920,Sparse,Low,Rocky,Poor,Moderate,Frequent,Absent,None,Rainy,Strong,Moderate,Medium
Very Close to Stream,281,175,Dense,High,Loamy,Poor,Steep,Frequent,Absent,Severe,Rainy,Weak,Severe,Medium
Very Far from Dam,169,907,Dense,Low,Sandy,Good,Steep,Rare,Absent,Moderate,Transition,Weak,Moderate,Low
Very Close to Lagoon,190,607,Moderate,High,Rocky,Poor,Flat,Rare,Present,Moderate,Dry,Strong,Moderate,Medium
Very Far from Dam,102,185,Sparse,High,Clay,Poor,Steep,Occasional,Absent,None,Dry,Weak,None,Low
Moderately Close to Stream,68,53,Moderate,Medium,Clay,Good,Steep,Occasional,Absent,Severe,Rainy,Weak,None,Low
Close to Dam,246,431,Dense,Low,Loamy,Poor,Flat,Frequent,Absent,Moderate,Dry,Moderate,Moderate,Medium
Very Far from River,188,859,Sparse,Low,Clay,Poor,Flat,Rare,Present,Moderate,Rainy,Weak,None,Medium
Far from Lagoon,122,883,Dense,Low,Sandy,Good,Flat,Rare,Present,Severe,Rainy,Weak,Moderate,Medium
Very Close to Lagoon,188,740,None,Low,Clay,Poor,Steep,Rare,Present,None,Transition,Moderate,Moderate,Low
Moderately Close to Stream,293,155,Sparse,High,Loamy,Poor,Steep,Occasional,Absent,None,Dry,Moderate,Severe,Low
Far from Lagoon,130,394,None,High,Sandy,Good,Steep,Frequent,Present,None,Dry,Strong,None,Low
Very Close to Lagoon,174,424,Moderate,High,Sandy,Moderate,Steep,Frequent,Absent,Severe,Rainy,Moderate,Moderate,Medium
Very Far from Stream,83,696,Dense,High,Clay,Moderate,Flat,Rare,Present,Moderate,Dry,Weak,Moderate,Medium
Very Far from River,83,804,None,Low,Rocky,Poor,Flat,Occasional,Present,None,Rainy,Moderate,Severe,Medium
Far from Dam,299,622,None,Medium,Rocky,Poor,Steep,Frequent,Absent,None,Rainy,Weak,Moderate,Medium
Very Far from River,140,216,Sparse,High,Sandy,Poor,Flat,Frequent,Present,Severe,Transition,Moderate,None,Medium
Close to Lake,240,311,None,Medium,Clay,Moderate,Steep,Occasional,Absent,Severe,Rainy,Strong,None,Low
Close to Stream,188,103,None,High,Sandy,Poor,Moderate,Frequent,Present,Moderate,Dry,Strong,Severe,Medium
Close to Lagoon,132,111,Moderate,High,Loamy,Moderate,Flat,Occasional,Absent,None,Rainy,Strong,None,Low
Close to River,283,569,Sparse,Low,Clay,Poor,Steep,Frequent,Present,None,Dry,Strong,None,Low
Very Close to Lake,86,520,None,High,Loamy,Poor,Steep,Occasional,Absent,None,Dry,Moderate,None,Medium
Very Far from Lake,235,550,Dense,Medium,Clay,Poor,Steep,Frequent,Absent,Moderate,Dry,Strong,None,Low
Very Far from Dam,11,596,Moderate,High,Sandy,Good,Moderate,Occasional,Present,None,Transition,Strong,Severe,Low
Very Close to Dam,81,873,None,High,Loamy,Poor,Moderate,Frequent,Present,None,Rainy,Moderate,Moderate,High
Moderately Close to Stream,200,168,Dense,Low,Rocky,Good,Moderate,Occasional,Present,None,Transition,Weak,Moderate,None
Very Far from Dam,145,855,Moderate,Low,Clay,Moderate,Flat,Occasional,Present,Moderate,Rainy,Moderate,Moderate,Low
Very Far from River,19,716,None,Medium,Rocky,Moderate,Steep,Occasional,Absent,Severe,Rainy,Moderate,None,Medium
Close to River,186,647,Moderate,Medium,Clay,Poor,Steep,Frequent,Absent,Moderate,Dry,Strong,Moderate,Low
Very Far from Lake,71,831,None,Low,Clay,Good,Flat,Frequent,Absent,Severe,Dry,Moderate,None,Medium
Very Close to Stream,10,49,None,Low,Sandy,Poor,Steep,Occasional,Present,None,Transition,Strong,Severe,Low
Far from River,95,971,None,High,Clay,Moderate,Steep,Frequent,Absent,Severe,Rainy,Moderate,Moderate,Medium
Very Close to River,75,739,Dense,Low,Clay,Moderate,Moderate,Occasional,Absent,Moderate,Transition,Moderate,None,Low
Very Close to Lake,65,599,Moderate,Low,Rocky,Poor,Steep,Occasional,Absent,Moderate,Transition,Moderate,None,Low
Very Far from Stream,40,573,None,Low,Rocky,Good,Steep,Rare,Absent,Moderate,Transition,Strong,None,Low
Far from River,264,906,Moderate,Medium,Rocky,Moderate,Flat,Frequent,Present,Severe,Dry,Weak,Severe,Medium
Very Close to River,252,185,Sparse,Low,Sandy,Moderate,Flat,Occasional,Absent,Moderate,Rainy,Weak,Severe,Medium
Moderately Close to Stream,46,205,Dense,Low,Clay,Moderate,Flat,Rare,Absent,Moderate,Rainy,Strong,None,Low
Very Far from Dam,175,955,Moderate,Low,Sandy,Poor,Flat,Frequent,Present,None,Dry,Weak,Moderate,Low
Close to Lake,1,983,Moderate,High,Rocky,Good,Flat,Rare,Present,Severe,Dry,Strong,Severe,Medium
Moderately Close to Stream,125,504,Moderate,High,Clay,Moderate,Flat,Occasional,Absent,None,Dry,Weak,Moderate,Medium
Very Close to Lagoon,49,873,Moderate,Low,Rocky,Moderate,Moderate,Occasional,Present,Severe,Rainy,Strong,Severe,Medium
Far from Lake,36,426,Sparse,Medium,Clay,Poor,Steep,Frequent,Absent,Moderate,Transition,Weak,Severe,Medium
Moderately Close to River,291,920,Moderate,Low,Clay,Moderate,Steep,Rare,Present,None,Transition,Weak,Moderate,Low
Close to River,183,619,Sparse,Low,Rocky,Poor,Steep,Frequent,Present,None,Transition,Weak,None,Low
Close to Lake,76,595,Dense,Low,Sandy,Good,Moderate,Rare,Present,Moderate,Rainy,Weak,Severe,Medium
Close to River,203,210,Dense,Medium,Sandy,Poor,Flat,Frequent,Absent,Moderate,Dry,Strong,None,Low
Very Close to River,70,33,Moderate,Low,Loamy,Good,Steep,Occasional,Present,Severe,Dry,Moderate,Severe,Low
Far from Lake,291,186,Sparse,High,Loamy,Good,Flat,Frequent,Present,None,Transition,Moderate,Moderate,Low
Close to River,210,289,Dense,Low,Loamy,Poor,Flat,Frequent,Present,Moderate,Dry,Strong,Severe,Low
Very Close to Lake,4,601,None,High,Loamy,Moderate,Flat,Rare,Absent,Moderate,Rainy,Weak,None,High
Far from Lake,270,406,None,Low,Rocky,Moderate,Moderate,Occasional,Absent,Moderate,Rainy,Strong,None,Low
Very Close to Lagoon,258,311,None,Medium,Rocky,Poor,Flat,Frequent,Present,None,Dry,Weak,Moderate,Medium
Far from Lagoon,87,643,Moderate,Low,Loamy,Good,Flat,Rare,Absent,Moderate,Transition,Strong,Moderate,Low
Moderately Close to Lake,19,533,None,Medium,Clay,Good,Moderate,Occasional,Present,Severe,Transition,Strong,None,Medium
Far from River,244,574,Moderate,Medium,Clay,Poor,Moderate,Occasional,Absent,None,Transition,Moderate,Severe,Low
Far from Lake,54,607,Dense,Medium,Clay,Poor,Flat,Rare,Absent,Severe,Dry,Moderate,None,Medium
Very Close to River,280,425,Sparse,Low,Loamy,Moderate,Steep,Rare,Present,Severe,Rainy,Strong,None,Low
Far from Dam,29,853,None,Low,Loamy,Poor,Flat,Occasional,Present,Severe,Transition,Weak,None,Medium
Far from Lake,162,909,Sparse,High,Loamy,Poor,Steep,Rare,Present,None,Dry,Weak,Severe,Low
Far from River,259,896,Moderate,Low,Rocky,Good,Moderate,Rare,Present,None,Transition,Strong,None,None
Very Far from Dam,229,557,Sparse,High,Sandy,Good,Steep,Occasional,Absent,Severe,Dry,Strong,Severe,Low
Very Far from Lake,133,80,Dense,Low,Clay,Moderate,Moderate,Occasional,Present,None,Rainy,Moderate,None,Low
Close to Stream,209,770,Moderate,Low,Loamy,Good,Moderate,Frequent,Present,None,Rainy,Strong,Severe,Low
Very Far from Lake,236,97,Sparse,High,Rocky,Good,Moderate,Rare,Absent,Moderate,Transition,Strong,None,Low
Close to Dam,200,511,Dense,High,Clay,Moderate,Steep,Rare,Present,Severe,Dry,Weak,None,Low
Close to Dam,231,794,Sparse,Low,Loamy,Moderate,Moderate,Occasional,Present,Severe,Rainy,Strong,None,Medium
Very Far from Dam,4,492,None,High,Loamy,Good,Moderate,Rare,Absent,Severe,Dry,Strong,None,Medium
Very Far from Lagoon,214,344,None,High,Clay,Good,Flat,Frequent,Present,Moderate,Transition,Strong,None,Low
Very Close to Lagoon,244,12,Moderate,Medium,Clay,Moderate,Moderate,Rare,Absent,Severe,Transition,Weak,Moderate,Medium
Moderately Close to Lake,181,348,None,Low,Rocky,Moderate,Steep,Occasional,Absent,None,Transition,Moderate,None,Low
Close to Dam,167,307,None,Low,Rocky,Moderate,Steep,Occasional,Absent,None,Rainy,Weak,None,Low
Close to Lagoon,109,560,None,High,Sandy,Poor,Flat,Rare,Present,Severe,Dry,Strong,Severe,High
Close to Lagoon,26,161,Sparse,High,Rocky,Good,Moderate,Rare,Absent,None,Transition,Moderate,None,Low
Close to Stream,153,251,None,Medium,Sandy,Good,Steep,Occasional,Present,Moderate,Transition,Weak,None,Low
Moderately Close to Lake,24,18,Moderate,Low,Clay,Poor,Moderate,Frequent,Absent,Severe,Rainy,Moderate,Moderate,Medium
Close to River,195,978,Sparse,Low,Rocky,Good,Moderate,Occasional,Present,None,Dry,Weak,None,Low
Moderately Close to Lagoon,32,423,None,High,Loamy,Good,Flat,Occasional,Absent,None,Transition,Weak,Moderate,Medium
Moderately Close to Dam,170,225,Sparse,High,Clay,Poor,Flat,Frequent,Present,Moderate,Rainy,Strong,Severe,Medium
Close to Stream,277,990,Moderate,Low,Rocky,Poor,Moderate,Occasional,Absent,Moderate,Dry,Strong,None,Low
Close to Lake,110,479,None,Medium,Loamy,Good,Steep,Frequent,Present,None,Rainy,Strong,Severe,Medium
Very Far from Dam,257,113,Sparse,High,Loamy,Moderate,Steep,Occasional,Present,None,Transition,Strong,None,None
Moderately Close to Lake,161,557,None,Low,Loamy,Good,Flat,Occasional,Present,Severe,Transition,Weak,Moderate,Medium
Close to Lake,104,155,None,Low,Sandy,Good,Flat,Rare,Absent,None,Dry,Weak,Moderate,Low
Very Far from River,217,601,None,Low,Sandy,Poor,Moderate,Rare,Absent,None,Dry,Weak,Severe,Low
Very Far from Stream,294,214,Sparse,Medium,Clay,Poor,Moderate,Occasional,Present,Moderate,Rainy,Moderate,Severe,Low
Moderately Close to Dam,151,106,Moderate,Medium,Rocky,Good,Moderate,Frequent,Present,None,Dry,Weak,None,Low
Far from Dam,137,147,Sparse,High,Rocky,Good,Steep,Occasional,Present,Severe,Dry,Strong,None,Low
Very Far from Lagoon,220,9,Dense,Medium,Clay,Moderate,Moderate,Occasional,Absent,Severe,Rainy,Strong,None,Low
Very Far from River,158,233,Moderate,High,Rocky,Poor,Steep,Frequent,Absent,Severe,Rainy,Weak,Severe,Medium
Close to Lake,225,450,None,High,Loamy,Good,Moderate,Occasional,Present,None,Rainy,Moderate,Moderate,Low
Very Far from Dam,273,389,Moderate,Low,Clay,Moderate,Flat,Frequent,Present,Moderate,Transition,Weak,None,Low
Moderately Close to Lagoon,219,528,Dense,Low,Loamy,Poor,Flat,Frequent,Absent,None,Dry,Strong,Moderate,Low
Moderately Close to Lagoon,288,612,Dense,Low,Sandy,Moderate,Flat,Rare,Present,Moderate,Dry,Weak,Severe,Low
Close to Stream,118,710,Moderate,Medium,Sandy,Good,Flat,Frequent,Present,Moderate,Transition,Moderate,Moderate,Medium
Very Close to Stream,43,991,Sparse,Low,Clay,Good,Steep,Frequent,Present,Moderate,Dry,Weak,Moderate,Medium
Far from Lagoon,126,804,None,High,Loamy,Good,Flat,Frequent,Present,Severe,Transition,Strong,None,Medium
Very Far from Dam,160,124,Dense,Low,Clay,Poor,Flat,Occasional,Present,Moderate,Transition,Weak,None,Low
Very Far from Stream,58,413,Sparse,Low,Rocky,Poor,Moderate,Rare,Present,Severe,Transition,Weak,None,Medium
Far from Lake,32,35,Moderate,High,Clay,Poor,Moderate,Rare,Absent,None,Transition,Strong,None,Low
Very Far from River,145,723,Dense,Medium,Loamy,Good,Flat,Rare,Present,Severe,Rainy,Strong,Severe,Medium
Very Far from Lake,256,329,Moderate,Medium,Loamy,Poor,Steep,Occasional,Absent,None,Dry,Weak,Moderate,Low
Close to Stream,286,283,Moderate,High,Clay,Poor,Steep,Rare,Present,Moderate,Dry,Weak,None,Low
Close to Lake,86,968,Dense,High,Sandy,Good,Flat,Rare,Absent,Moderate,Dry,Weak,Moderate,Medium
Close to Stream,55,69,None,Medium,Loamy,Moderate,Steep,Occasional,Absent,None,Transition,Moderate,Severe,Low
Far from Lagoon,187,632,Moderate,High,Clay,Moderate,Moderate,Occasional,Present,None,Rainy,Moderate,Severe,Low
Very Far from Lagoon,279,575,Dense,Low,Rocky,Good,Flat,Rare,Absent,Moderate,Transition,Moderate,Severe,Low
Close to Dam,191,379,Dense,Medium,Clay,Good,Moderate,Frequent,Absent,Moderate,Transition,Moderate,None,Low
Moderately Close to Dam,194,887,None,High,Clay,Poor,Moderate,Rare,Present,Severe,Rainy,Strong,Severe,High
Close to Lake,251,728,Dense,Medium,Loamy,Good,Flat,Frequent,Present,Severe,Transition,Weak,Severe,Medium
Close to River,53,332,Sparse,Low,Rocky,Good,Flat,Rare,Present,None,Rainy,Strong,None,Low
Very Far from Stream,224,212,None,High,Rocky,Good,Flat,Frequent,Absent,Severe,Dry,Moderate,Severe,Medium
Close to River,146,329,Moderate,Medium,Clay,Good,Flat,Frequent,Absent,None,Dry,Weak,Severe,Medium
Far from Stream,5,608,Sparse,Medium,Clay,Good,Steep,Rare,Present,Moderate,Rainy,Weak,None,Low
Very Close to Dam,39,44,None,Medium,Sandy,Moderate,Flat,Frequent,Present,None,Dry,Strong,Moderate,Medium
Very Far from Lake,138,699,None,High,Loamy,Poor,Steep,Rare,Absent,None,Dry,Moderate,Moderate,Low
Very Far from Lake,34,132,Moderate,High,Sandy,Good,Moderate,Frequent,Absent,Severe,Dry,Weak,Severe,Medium
Close to River,77,584,None,Low,Rocky,Moderate,Flat,Rare,Absent,None,Rainy,Strong,Moderate,Medium
Far from Lake,97,180,Dense,Medium,Clay,Good,Moderate,Frequent,Present,None,Rainy,Weak,Severe,Low
Far from Lake,132,596,Dense,Low,Sandy,Moderate,Flat,Frequent,Present,Severe,Dry,Strong,Severe,Medium
Moderately Close to Dam,219,199,Dense,Medium,Loamy,Moderate,Flat,Rare,Present,None,Rainy,Moderate,Severe,Low
Moderately Close to Stream,281,555,None,Medium,Clay,Good,Steep,Frequent,Absent,None,Transition,Weak,None,Low
Very Far from Dam,61,468,Dense,Low,Sandy,Poor,Flat,Frequent,Absent,Severe,Transition,Weak,None,Medium
Far from River,68,162,Dense,Low,Clay,Moderate,Flat,Occasional,Present,Moderate,Rainy,Moderate,Severe,Low
Moderately Close to Lake,295,436,Sparse,Low,Rocky,Moderate,Steep,Rare,Absent,Moderate,Transition,Weak,Severe,Low
Very Close to River,217,893,Dense,Medium,Sandy,Good,Flat,Rare,Present,Severe,Dry,Strong,None,Low
Far from Lagoon,98,562,Dense,Low,Loamy,Poor,Steep,Rare,Present,Severe,Rainy,Moderate,None,Low
Moderately Close to Lagoon,2,416,Moderate,Low,Rocky,Poor,Moderate,Occasional,Absent,Moderate,Transition,Moderate,None,Low
Close to Stream,43,425,Dense,Low,Sandy,Poor,Steep,Occasional,Present,None,Transition,Strong,Severe,Low
Close to River,56,857,Dense,Low,Clay,Good,Steep,Rare,Present,Moderate,Dry,Moderate,None,Low
Very Close to Stream,159,33,Sparse,High,Clay,Poor,Flat,Rare,Absent,None,Rainy,Weak,Severe,Medium
Very Far from Lake,3,763,None,High,Clay,Good,Moderate,Rare,Absent,Severe,Transition,Strong,None,Medium
Very Far from Lagoon,71,77,Dense,Low,Clay,Good,Steep,Frequent,Present,Severe,Transition,Weak,None,Low
Moderately Close to Lagoon,16,326,None,Medium,Clay,Moderate,Flat,Rare,Present,Moderate,Rainy,Strong,Severe,Medium
Far from Lake,182,795,Dense,Low,Clay,Poor,Steep,Rare,Absent,Severe,Dry,Weak,None,Low
Far from Lake,299,587,Sparse,High,Sandy,Moderate,Moderate,Frequent,Absent,Severe,Transition,Strong,Moderate,Medium
Very Far from Dam,123,383,Sparse,Low,Sandy,Poor,Steep,Rare,Present,Moderate,Dry,Moderate,None,Low
Close to Lagoon,233,833,Dense,Low,Loamy,Good,Steep,Frequent,Absent,Severe,Rainy,Moderate,None,Low
Close to Stream,278,825,None,Medium,Loamy,Moderate,Flat,Rare,Absent,Moderate,Rainy,Weak,Moderate,High
Close to Lake,274,517,Moderate,High,Clay,Moderate,Moderate,Rare,Present,Severe,Rainy,Moderate,Severe,Medium
Very Far from River,260,840,Moderate,Medium,Sandy,Moderate,Moderate,Occasional,Present,Moderate,Transition,Weak,Moderate,Low
Moderately Close to Lake,245,652,Dense,Medium,Sandy,Poor,Flat,Occasional,Present,None,Rainy,Strong,Moderate,Low
Very Close to Lake,154,804,Sparse,High,Sandy,Poor,Flat,Rare,Absent,None,Transition,Moderate,Severe,Medium
Close to River,132,415,Moderate,High,Loamy,Good,Moderate,Occasional,Absent,Moderate,Transition,Strong,Moderate,Low
Very Far from Lagoon,94,969,Sparse,High,Sandy,Poor,Flat,Rare,Present,None,Transition,Weak,Moderate,Medium
Far from Lagoon,268,400,Dense,Low,Sandy,Poor,Steep,Occasional,Absent,Moderate,Transition,Moderate,Moderate,None
Moderately Close to River,80,468,None,High,Sandy,Poor,Flat,Occasional,Absent,None,Transition,Moderate,Moderate,Medium
Very Far from Lake,117,509,Dense,High,Loamy,Poor,Steep,Occasional,Present,Severe,Transition,Moderate,None,Low
Close to Dam,172,585,Sparse,Medium,Rocky,Poor,Moderate,Frequent,Absent,Severe,Dry,Weak,Severe,High
Close to Dam,189,957,Sparse,Low,Rocky,Poor,Moderate,Frequent,Present,Severe,Transition,Moderate,Moderate,Medium
Moderately Close to Lagoon,102,627,None,Medium,Sandy,Poor,Steep,Occasional,Absent,Moderate,Dry,Moderate,None,Medium
Very Close to Lagoon,144,264,Moderate,Medium,Sandy,Poor,Flat,Occasional,Present,Moderate,Transition,Weak,Moderate,Medium
Far from River,73,821,None,Medium,Clay,Moderate,Flat,Rare,Absent,Moderate,Rainy,Moderate,Severe,Medium
Moderately Close to River,244,255,Dense,Medium,Clay,Good,Flat,Frequent,Present,Severe,Dry,Weak,None,Low
Very Far from Lagoon,97,368,None,Low,Sandy,Moderate,Moderate,Rare,Absent,None,Dry,Moderate,None,Low
